X,Y,Z
0.09,0.07558366404798877,0.007944163208341662
0.09,0.07598842483188574,0.0013263828892335534
0.09,0.07581486781974664,-0.005301492004553525
0.09,0.07506431388523047,-0.011889019343057559
0.09,0.07374247519697573,-0.018386064065574734
0.09,0.07185941174554808,-0.024743179738743886
0.09,0.06942945478083767,-0.030911984873760807
0.09,0.06647109774259408,-0.03684553113872161
0.09,0.06300685551418317,-0.04249866066377675
0.09,0.059063093070729794,-0.04782834971978763
0.09,0.054669824825737484,-0.052794036154883796
0.09,0.04986048620327855,-0.057357928096930674
0.09,0.044671679174227964,-0.061485291572496
0.09,0.03914289369316413,-0.06514471485336053
0.09,0.033316207155969904,-0.06830834751873667
0.09,0.02723596416544285,-0.07095211241378732
0.09,0.02094843904209194,-0.07305588889131223
0.09,0.014501483648617417,-0.07460366594202246
0.09,0.007944163208341683,-0.07558366404798877
0.09,0.044671679174227964,-0.061485291572496
0.09,0.03914289369316413,-0.06514471485336053
0.09,0.033316207155969904,-0.06830834751873667
0.09,0.02723596416544285,-0.07095211241378732
0.09,0.02094843904209194,-0.07305588889131223
0.09,0.014501483648617417,-0.07460366594202246
0.09,0.007944163208341683,-0.07558366404798877
0.09,0.0013263828892335413,-0.07598842483188574
0.09,-0.005301492004553487,-0.07581486781974664
0.09,-0.011889019343057534,-0.07506431388523047
0.09,-0.01838606406557473,-0.07374247519697573
0.09,-0.024743179738743914,-0.07185941174554807
0.09,-0.030911984873760786,-0.06942945478083769
0.09,-0.03684553113872164,-0.06647109774259406
0.09,-0.04249866066377675,-0.06300685551418317
0.09,-0.04782834971978763,-0.0590630930707298
0.09,-0.061485291572496,-0.044671679174227964
0.09,-0.06514471485336051,-0.03914289369316413
0.09,-0.06830834751873667,-0.033316207155969904
0.09,-0.07095211241378732,-0.027235964165442852
0.09,-0.07305588889131225,-0.020948439042091916
0.09,-0.07460366594202246,-0.01450148364861739
0.09,-0.07558366404798877,-0.007944163208341721
0.09,-0.07598842483188574,-0.0013263828892335458
0.09,-0.07581486781974664,0.005301492004553517
0.09,-0.07506431388523047,0.011889019343057531
0.09,-0.07374247519697574,0.018386064065574723
0.09,-0.0718594117455481,0.02474317973874388
0.09,-0.06942945478083769,0.030911984873760782
0.09,-0.06647109774259406,0.03684553113872163
0.09,-0.06300685551418317,0.04249866066377677
0.09,-0.05906309307072982,0.0478283497197876
0.096,-0.04467167917422796,0.061485291572496006
0.096,-0.039142893693164114,0.06514471485336054
0.096,-0.03331620715596988,0.0683083475187367
0.096,-0.02723596416544282,0.07095211241378734
0.096,-0.020948439042091937,0.07305588889131223
0.096,-0.014501483648617405,0.07460366594202246
0.096,-0.007944163208341662,0.07558366404798877
0.096,-0.001326382889233547,0.07598842483188574
0.096,0.005301492004553523,0.07581486781974664
0.096,0.011889019343057547,0.07506431388523047
0.096,0.018386064065574748,0.07374247519697573
0.096,0.024743179738743907,0.07185941174554808
0.096,0.03091198487376081,0.06942945478083766
0.096,0.03684553113872162,0.06647109774259408
0.096,0.042498660663776756,0.06300685551418317
0.096,0.04782834971978765,0.05906309307072978
0.096,0.061485291572496006,0.04467167917422796
0.096,0.06514471485336053,0.03914289369316412
0.096,0.0683083475187367,0.03331620715596988
0.096,0.07095211241378734,0.02723596416544281
0.096,0.07305588889131223,0.020948439042091937
0.096,0.07460366594202246,0.014501483648617414
0.096,0.07558366404798877,0.007944163208341662
0.096,0.07598842483188574,0.0013263828892335534
0.096,0.07581486781974664,-0.005301492004553525
0.096,0.07506431388523047,-0.011889019343057559
0.096,0.07374247519697573,-0.018386064065574734
0.096,0.07185941174554808,-0.024743179738743886
0.096,0.06942945478083767,-0.030911984873760807
0.096,0.06647109774259408,-0.03684553113872161
0.096,0.06300685551418317,-0.04249866066377675
0.096,0.059063093070729794,-0.04782834971978763
0.096,0.054669824825737484,-0.052794036154883796
0.096,0.04986048620327855,-0.057357928096930674
0.096,0.044671679174227964,-0.061485291572496
0.096,0.03914289369316413,-0.06514471485336053
0.096,0.033316207155969904,-0.06830834751873667
0.096,0.02723596416544285,-0.07095211241378732
0.096,0.02094843904209194,-0.07305588889131223
0.096,0.014501483648617417,-0.07460366594202246
0.096,0.007944163208341683,-0.07558366404798877
0.096,0.044671679174227964,-0.061485291572496
0.096,0.03914289369316413,-0.06514471485336053
0.096,0.033316207155969904,-0.06830834751873667
0.096,0.02723596416544285,-0.07095211241378732
0.096,0.02094843904209194,-0.07305588889131223
0.096,0.014501483648617417,-0.07460366594202246
0.096,0.007944163208341683,-0.07558366404798877
0.096,0.0013263828892335413,-0.07598842483188574
0.096,-0.005301492004553487,-0.07581486781974664
0.096,-0.011889019343057534,-0.07506431388523047
0.096,-0.01838606406557473,-0.07374247519697573
0.096,-0.024743179738743914,-0.07185941174554807
0.096,-0.030911984873760786,-0.06942945478083769
0.096,-0.03684553113872164,-0.06647109774259406
0.096,-0.04249866066377675,-0.06300685551418317
0.096,-0.04782834971978763,-0.0590630930707298
0.096,-0.061485291572496,-0.044671679174227964
0.096,-0.06514471485336051,-0.03914289369316413
0.096,-0.06830834751873667,-0.033316207155969904
0.096,-0.07095211241378732,-0.027235964165442852
0.096,-0.07305588889131225,-0.020948439042091916
0.096,-0.07460366594202246,-0.01450148364861739
0.096,-0.07558366404798877,-0.007944163208341721
0.096,-0.07598842483188574,-0.0013263828892335458
0.096,-0.07581486781974664,0.005301492004553517
0.096,-0.07506431388523047,0.011889019343057531
0.096,-0.07374247519697574,0.018386064065574723
0.096,-0.0718594117455481,0.02474317973874388
0.096,-0.06942945478083769,0.030911984873760782
0.096,-0.06647109774259406,0.03684553113872163
0.096,-0.06300685551418317,0.04249866066377677
0.096,-0.05906309307072982,0.0478283497197876
